nn,chapter,article,paragraph,name,summ
,,,,Институтъ Гражданскихъ Инженеровъ Императора Николая I:,119806
,,,а, личный составъ,47406
,,,б, учебная часть,28900
,,,в, стипендіи,12000
,,,г, канцелярскіе и хозяйственные расходы,31500
,,,,Статистическіе курсы Министерства Внутреннихъ Дѣлъ:,26500
,,,а, личный составъ,3300
,,,б, учебная часть,15800
,,,в,канцелярскіе и хозяйственные расходы,7400
44,14,,,Содержаніе низшихъ учебныхъ заведеній,5827
,,1,,Училище дѣтей калмыковъ,2537
,,2,,Мусульманскія училища въ Тифлисѣ,3290
45,15,,,Пособія по учебной и художественной частямъ,268780
,,1,,Учебнымъ заведеніямъ,2900
,,2,,"Казанскому обществу археологіи, исторіи и этнографіи",300
,,3,,Обществу ревнителей русскаго историческаго просвѣщенія въ память Императора Александра III,3000
,,4,,Императорскому Русскому Географическому Обществу,59735
,,5,,Публичнымъ библіотекамъ,3500
,,6,,Музеямъ,2100
,,7,,Музыкальнымъ обществамъ и содержимымъ ими учебнымъ заведеніямъ,139900
,,8,,Театральнымъ обществамъ и театрамъ,51345
,,9,,Ученымъ архивнымъ коммисіямъ,6000
,,,,"Пути сообщенія, кромѣ казенныхъ желѣзныхъ дорогъ, и порты",None
46,16,,,Расходы по грунтовымъ и воднымъ путямъ сообщенія,21358
,,1,,"Устройство, содержаніе и ремонтъ шоссейныхъ дорогъ, переправъ и перевозовъ",11358
,,2,,Пособія земскимъ сборамъ Приамурскаго края на дорожную часть,10000
,,,,Землеустройство и сельская промышленностъ,None
47,17,,,Землеустройство,408616
48,18,,,Ссуды на землеустройство,250000
,,,,Межевая часть,None
49,19,,,Производство межевыхъ работъ по земельному устройству сельскаго населенія,140000
,,1,,Межевыя работы по земельному устройству крестьянъ и сельскихъ вѣчныхъ чиншевиковъ,140000
,,,,Постройка зданій и пріобрѣтеніе недвижимыхъ имуществъ,None
50,20,,,Сооруженіе и ремонтъ зданій,1350000
,,1,,"Постройка зданій, пріобрѣтеніе недвижимыхъ имуществъ, приспособленіе и оборудованіе помѣщеній",600000
,,2,,Ремонтъ,750000
,,,,Пособія и вознагражденіе по разнымъ случаямъ,None
51,21,,,Пособія по разнымъ случаямъ,329990
,,1,,Земствамъ по случаю недостаточности земскихъ средствъ,27500
,,2,,Учрежденіямъ общественнаго призрѣнія и благотворительнымъ,87201
,,3,,На изданіе газетъ,20225
,,4,,Частнымъ лицамъ,195064
52,22,,,"Вознагражденіе за отошедшіе въ казну имущества, доходы и пр",49997
,,1,,Городамъ взамѣнъ отмѣненныхъ доходовъ,23556
,,2,,"Разнымъ учрежденіямъ взамѣнъ отошедшихъ отъ нихъ имѣній, сборовъ и проч",7950
,,3,,Частнымъ лицамъ за отошедшія отъ нихъ имѣнія,18491
,,,,Церковное управленіе и духовенство,None
,,,,Общіе расходи по управленію,None
53,23,,,Содержаніе центральныхъ учрежденій,122315
,,1,,Департаментъ Духовныхъ Дѣлъ Иностранныхъ Исповѣданій:,69925
,,,а, личный составъ,66175
,,,б, канделярскіе и хозяйственные расходы,3750
,,2,,Канцелярія Армяно-Грегоріанскаго Синода:,11732
,,,а, личный составъ,11032
,,,б, канцелярскіе и хозяйственные расходы,700
,,3,,Римско-Католическая Духовная Коллегія:,22718
,,,а, личный составъ,22118
,,,б, канцелярскіе и хозяйственные расходы,600
,,4,,Евангелическо-Лютеранская Генеральная Консисторія:,17940
,,,а, личный составъ,15607
,,,б, канцелярскіе и хозяйственные расходы,2333
54,24,,,Содержаніе мѣстныхъ учрежденій,138856
,,1,,Армяно-Грегоріанская Консисторія,2401
,,2,,Римско-Католическія Консисторіи:,42372
,,,а, личный составъ,36671
,,,б, канцелярскіе и хозяйственные расходы,5701
,,3,,Евангелическія Консисторіи:,38906
,,,а, личный составъ,31697
,,,б, канцелярскіе и хозяйственные расходы,7209
,,4,,Магометанскія духовныя управленія:,55177
,,,а, личный составъ,43534
,,,б, канцелярскіе и хозяйственные расходы,11643
,,,,Духовенство,None
55,25,,,Духовенство иностранныхъ исповѣданій:,1421494
,,1,,Римско-Католическое:,1359957
,,,а, въ Имперіи,491776
,,,б, въ Царствѣ Польскомъ и Закавказскомъ краѣ,868181
,,2,,Евангелическое,60437
,,3,,Магометанское,1100
56,26,,,Содержаніе и ремонтъ каѳедральныхъ соборовъ въ С-Петербургѣ и Москвѣ,55276
,,1,,Исаакіевскій соборъ въ С-Петербургѣ,51887
,,2,,Храмъ Христа Спасителя въ Москвѣ,3389
,,,,"Просвѣщеніе, науки и искусства",None
57,27,,,Содержаніе высшихъ духовно-учебныхъ заведеній римско-католическаго исповѣданія,52900
,,1,,Римско-Католическая Духовная Академія:,52900
,,,а, личный составъ,23769
,,,б, канцелярскіе и хозяйственные расходы,29131
58,28,,,Содержаніе среднихъ духовно-учебныхъ заведеній римско-католическаго исповѣданія,82372
,,1,,Римско-Католическія духовныя семинаріи:,82372
,,,а, личный составъ,45505
,,,б, канцелярскіе и хозяйственные расходы,36867
,,,,Расходы по оборонѣ государства,None
,,,,Общіе расходы по управленію,None
59,29,,,Содержаніе центральныхъ учрежденій,72298
,,1,,Управленіе по дѣламъ о воинской повинности:,72298
,,,а, личный составъ,53298
,,,б, канцелярскіе и хозяйственные расходы,19000
60,30,,,Содержаніе мѣстныхъ учрежденій,1138975
,,1,,Присутствія по воинской повинности:,1138975
,,,а, личный составъ,596065
,,,б, канцелярскіе и хозяйственные расходы,542910
61,31,,,Расходы по призыву новобранцевъ до пріема на службу,1338800
,,,,Пособiя и вознагражденіе по разнымъ случаямъ,1338800
62,32,,,Пособія городамъ по воинской повинности,127250
,,,,Гражданское управленіе,None
63,33,,,На расходы по выборамъ въ Государственную Думу,40000
,,,,Главное Управленіе Почтъ и Телеграфовъ,79865440
,,,,Гражданское управленіе,None
,,,,Общіе расходы по управленію,None
64,1,,,Содержаніе центральныхъ учрежденій,350289
,,1,,Главное Управленіе Почтъ и Телеграфовъ:,330289
,,,а, личный состав,296232
,,,б, канцелярскіе и хозяйственные расходы,28200
,,,в, содержаніе церкви,5857
,,2,,Содержаніе зданій,20000
65,2,,,Содержаніе мѣстныхъ учрежденій,1317694
,,1,,Управленія почтово-телеграфными округами:,963721
,,,а, личный составъ,767307
,,,б, квартирное довольствіе,90000
,,,в, канцелярскіе и хозяйственные расходы,106414
,,2,,Управленія перевозки почтъ по желѣзнымъ дорогамъ:,122343
,,,а, личный составъ,97290
,,,б, канцелярскіе и хозяйственные расходы,4885
,,,в, квартирное довольствіе,20168
,,3,,Наемъ помѣщеній и содержаніе зданій,136090
,,4,,На усиленіе средствъ,70000
,,5,,Выдачи по мѣстнымъ привилегіямъ службы:,25540
,,,а, путевое пособіе,6600
,,,б, прибавочное жалованье,18000
,,,в, пособія на воспитаніе дѣтей,940
66,3,,,Разные расходы администраціи,239010
,,1,,Путевое довольствіе,85000
,,2,,Награды и пособія:,150000
,,,а, испрашиваемыя на общемъ основаніи на одинъ годъ,55000
,,,б, испрашиваемыя на особомъ основаніи на двухлѣтній періодъ,95000
,,3,,Пособія на воспитаніе дѣтей,4010
67,4,,,Разные расходы по управленію,38647
,,1,,Содержаніе международныхъ почтово-телеграфныхъ бюро въ Бернѣ,6050
,,2,,Спеціальныя изданія,28200
,,3,,Чрезвычайные расходы,4397
,,,,"Почта, телеграфъ и телефонъ",None
68,5,,,Содержаніе почтово-телеграфныхъ и телефонныхъ учрежденій,51840151
,,1,,Почтово-телеграфныя учрежденія:,41298266
,,,а, личный составъ,31421358
,,,б, квартирное довольствіе,4431006
