nn,chapter,article,paragraph,name,summ
,,,в, добавочное вознагражденіе за передачу депешъ на англійскомъ языкѣ,73108
,,,г, добавочное вознагражденіе за работу на скородѣйствуюіцихъ аппаратахъ,530176
,,,д, добавочное вознагражденіе за службу въ отдаленныхъ мѣстностяхъ,73412
,,,е, канцелярскіе и хозяйственные расходы,4769206
,,2,,Правительственныя телефонныя сѣти:,1858242
,,,а, личный составъ,1536412
,,,б, квартирное довольствіе,270054
,,,в, канцелярскіе и хозяйственные расходы,51776
,,3,,Наемъ помѣщеній и содержаніе зданій,3006562
,,4,,Желѣзнодорожныя почтовыя учрежденія:,2503807
,,,а, личный составъ,1298795
,,,б, путевое довольствіе разъѣзднымъ чинамъ,703464
,,,в, канцелярскіе и хозяйственные расходы,250520
,,,г, квартирное довольствіе,251028
,,5,,Производство почтовыхъ операцій въ волостныхъ правленіяхъ и на желѣзнодорожныхъ станціяхъ,640000
,,6,,Путевое довольствіе,375000
,,7,,На усиленіе средствъ,150000
,,8,,Награды и пособія,1574727
,,9,,Пособія служащимъ по случаю пожарныхъ убытковъ,8000
,,10,,Пособія на воспитаніе дѣтей:,139047
,,,а, испрашиваемыя на общемъ основаніи на одинъ годъ,4047
,,,б, испрашиваемыя на особомъ основаніи на двухлѣтній періодъ,135000
,,11,,Леченіе нижнихъ служителей,17500
,,12,,Выдачи по мѣстнымъ привилегіямъ службы:,269000
,,,а, путевое пособіе,19000
,,,б, прибавочное жалованье,190000
,,,в, пособія на воспитаніе дѣтей,60000
69,6,,,Заготовка знаковъ почтовой оплаты,884064
70,7,,,Разные расходы по пересылкѣ корреспонденціи,5199484
,,1,,Расчеты по международной корреспонденціи,714000
,,2,,"Плата за нарочныхъ, возвратъ суммъ за телеграфныя и телефонныя сношенія и уплата за доставку судебныхъ писемъ",357000
,,3,,Расходы по перевозкѣ корреспонденціи:,3930257
,,,а, уплата за возку почтъ и эстафетъ,3823529
,,,б," укупорочные матеріалы (заготовка и ремонтъ мѣшковъ, сумокъ и т",106728
,,4,,Вознагражденіе за утраченную на почтѣ корреспонденцію,50000
,,5,,Постройка почтовыхъ вагоновъ,148227
71,8,,,Приплата за почтовыхъ лошадей,7300000
72,9,,,Устройство и ремонтъ телеграфныхъ линій,6975000
,,1,,Постройка телеграфовъ,3695000
